6.08e+00,1.70e+00
5.58e+00,1.17e+00
5.23e+00,8.62e-01
5.09e+00,7.78e-01
4.93e+00,7.59e-01
4.86e+00,6.97e-01
4.72e+00,6.59e-01
4.65e+00,6.30e-01
4.51e+00,5.93e-01
4.45e+00,5.43e-01
4.74e+00,8.33e-01
4.45e+00,7.32e-01
4.29e+00,6.74e-01
4.11e+00,6.06e-01
4.03e+00,5.86e-01
3.92e+00,5.73e-01
3.78e+00,5.04e-01
3.71e+00,5.03e-01
3.62e+00,4.99e-01
3.56e+00,4.55e-01
4.68e+00,8.34e-01
4.39e+00,7.48e-01
4.21e+00,6.67e-01
4.05e+00,6.08e-01
3.91e+00,5.85e-01
3.81e+00,5.41e-01
3.70e+00,5.23e-01
3.59e+00,4.86e-01
3.47e+00,4.57e-01
3.39e+00,4.24e-01
3.67e+00,4.89e-01
3.45e+00,4.38e-01
3.33e+00,3.99e-01
3.23e+00,3.82e-01
3.09e+00,3.58e-01
3.00e+00,3.45e-01
2.96e+00,3.34e-01
2.88e+00,3.07e-01
2.86e+00,3.02e-01
2.80e+00,2.95e-01
3.25e+00,4.41e-01
3.00e+00,3.74e-01
2.84e+00,3.40e-01
2.74e+00,3.14e-01
2.67e+00,3.10e-01
2.61e+00,3.00e-01
2.52e+00,2.79e-01
2.54e+00,2.74e-01
2.50e+00,2.56e-01
2.44e+00,2.66e-01
3.44e+00,5.07e-01
3.15e+00,4.06e-01
2.96e+00,3.70e-01
2.81e+00,3.44e-01
2.74e+00,3.31e-01
2.62e+00,2.99e-01
2.56e+00,3.02e-01
2.51e+00,2.92e-01
2.47e+00,2.90e-01
2.42e+00,2.80e-01
3.63e+00,5.85e-01
3.28e+00,4.71e-01
3.05e+00,4.13e-01
2.87e+00,3.92e-01
2.75e+00,3.59e-01
2.65e+00,3.41e-01
2.57e+00,3.31e-01
2.51e+00,3.14e-01
2.46e+00,3.07e-01
2.41e+00,3.01e-01
3.68e+00,6.24e-01
3.37e+00,5.16e-01
3.13e+00,4.59e-01
2.96e+00,4.17e-01
2.81e+00,3.92e-01
2.69e+00,3.72e-01
2.61e+00,3.55e-01
2.54e+00,3.43e-01
2.47e+00,3.37e-01
2.43e+00,3.29e-01
3.79e+00,6.79e-01
3.45e+00,5.64e-01
3.21e+00,4.96e-01
3.00e+00,4.58e-01
2.84e+00,4.26e-01
2.72e+00,4.05e-01
2.59e+00,3.83e-01
2.54e+00,3.69e-01
2.47e+00,3.59e-01
2.43e+00,3.46e-01
3.88e+00,7.16e-01
3.55e+00,6.05e-01
3.28e+00,5.28e-01
3.06e+00,4.82e-01
2.87e+00,4.48e-01
2.72e+00,4.06e-01
2.62e+00,3.92e-01
2.53e+00,3.80e-01
2.47e+00,3.66e-01
2.41e+00,3.60e-01
2.60e+00,4.09e-01
2.48e+00,3.77e-01
2.38e+00,3.63e-01
2.32e+00,3.53e-01
2.29e+00,3.46e-01
2.25e+00,3.44e-01
2.21e+00,3.30e-01
2.20e+00,3.35e-01
2.18e+00,3.23e-01
2.17e+00,3.26e-01
2.35e+00,3.81e-01
2.25e+00,3.48e-01
2.18e+00,3.37e-01
2.14e+00,3.31e-01
2.13e+00,3.22e-01
2.11e+00,3.21e-01
2.09e+00,3.13e-01
2.08e+00,3.15e-01
2.06e+00,3.11e-01
2.06e+00,3.09e-01
2.53e+00,4.19e-01
2.35e+00,3.63e-01
2.27e+00,3.46e-01
2.20e+00,3.35e-01
2.16e+00,3.25e-01
2.13e+00,3.23e-01
2.10e+00,3.19e-01
2.11e+00,3.17e-01
2.07e+00,3.15e-01
2.05e+00,3.10e-01
2.67e+00,4.55e-01
2.47e+00,3.89e-01
2.33e+00,3.63e-01
2.24e+00,3.50e-01
2.20e+00,3.38e-01
2.17e+00,3.32e-01
2.14e+00,3.31e-01
2.11e+00,3.24e-01
2.10e+00,3.21e-01
2.09e+00,3.24e-01
